TIPO;Altura;COLOR;Ancho;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO
CORREDERA;2700;ROBLE;1200;621,508;885,881;695,780;773,000;885,881
CORREDERA;2700;ROBLE;1300;658,681;945,085;739,142;493,000;945,085
CORREDERA;2700;ROBLE;1400;674,493;982,929;761,144;508,000;982,929
CORREDERA;2700;ROBLE;1500;686,855;1.017,322;779,695;843,000;1.017,322
CORREDERA;2500;ROBLE;600;483,892;595,042;514,572;514,572;595,042
CORREDERA;2500;ROBLE;700;498,129;627,804;533,923;533,923;627,804
CORREDERA;2500;ROBLE;800;512,367;660,567;553,273;553,273;660,567
CORREDERA;2500;ROBLE;900;538,956;705,681;584,976;584,976;705,681
CORREDERA;2500;ROBLE;1000;553,193;738,443;604,327;604,327;738,443
CORREDERA;2500;ROBLE;1100;598,602;822,993;661,641;661,641;822,993
CORREDERA;2500;ROBLE;1200;613,852;858,642;682,622;682,622;858,642
CORREDERA;2500;ROBLE;1300;650,463;915,652;724,963;724,963;915,652
CORREDERA;2500;ROBLE;1400;665,713;951,301;745,944;745,944;951,301
CORREDERA;2500;ROBLE;1500;680,963;986,950;766,925;766,925;986,95
CORREDERA;2700;NOGAL;600;508,595;640,781;545,730;545,730;640,781
CORREDERA;2700;NOGAL;700;524,601;678,819;567,926;567,926;678,819
CORREDERA;2700;NOGAL;800;540,608;716,857;590,122;590,122;716,857
CORREDERA;2700;NOGAL;900;568,967;767,246;624,670;624,670;767,246
CORREDERA;2700;NOGAL;1000;584,973;805,284;646,866;646,866;805,284
CORREDERA;2700;NOGAL;1100;612,118;854,460;680,200;680,200;854,460
CORREDERA;2700;NOGAL;1200;628,124;892,498;702,396;702,396;892,498
CORREDERA;2700;NOGAL;1300;665,491;951,896;745,952;745,952;951,896
CORREDERA;2700;NOGAL;1400;681,498;989,933;768,148;768,148;989,933
CORREDERA;2700;NOGAL;1500;693,859;1.024,326;786,699;786,699;1.024,326
CORREDERA;2500;NOGAL;600;489,445;600,595;520,125;520,125;600,595
CORREDERA;2500;NOGAL;700;503,892;633,567;539,685;539,685;633,567
CORREDERA;2500;NOGAL;800;518,339;666,539;559,246;559,246;666,539
CORREDERA;2500;NOGAL;900;545,139;711,864;591,159;591,159;711,864
CORREDERA;2500;NOGAL;1000;559,586;744,836;610,719;610,719;744,836
CORREDERA;2500;NOGAL;1100;605,205;829,596;668,244;668,244;829,596
CORREDERA;2500;NOGAL;1200;620,665;865,455;689,435;689,435;865,455
CORREDERA;2500;NOGAL;1300;657,485;922,674;731,986;731,986;922,674
CORREDERA;2500;NOGAL;1400;672,945;958,533;753,177;753,177;958,533
CORREDERA;2500;NOGAL;1500;688,405;994,393;774,368;774,368;994,393
FIJO;2700;NEGRO MATE TEXT;500;334,559;466,756;371,705;371,705;466,756
FIJO;2700;NEGRO MATE TEXT;1000;404,545;624,856;466,438;466,438;624,856
FIJO;2700;NEGRO MATE TEXT;1500;483,114;813,581;575,954;575,954;813,581
FIJO;2500;NEGRO MATE TEXT;500;308,809;339,489;339,489;339,489;339,489
FIJO;2500;NEGRO MATE TEXT;1000;371,164;422,298;422,298;422,298;422,298
FIJO;2500;NEGRO MATE TEXT;1500;464,451;550,414;550,414;550,414;550,414
FIJO;2700;BLANCO MATE;500;334,559;466,756;371,705;371,705;466,756
FIJO;2700;BLANCO MATE;1000;404,545;624,856;466,438;466,438;624,856
FIJO;2700;BLANCO MATE;1500;483,114;813,581;575,954;575,954;813,581
FIJO;2500;BLANCO MATE;500;334,559;339,489;339,489;339,489;339,489
FIJO;2500;BLANCO MATE;1000;404,545;422,298;422,298;422,298;422,298
FIJO;2500;BLANCO MATE;1500;483,114;550,414;550,414;550,414;550,414
FIJO;2700;CORTEN;500;334,559;466,756;371,705;371,705;466,756
FIJO;2700;CORTEN;1000;404,545;624,856;466,438;466,438;624,856
FIJO;2700;CORTEN;1500;483,114;813,581;575,954;575,954;813,581
FIJO;2500;CORTEN;500;334,559;339,489;339,489;339,489;339,489
FIJO;2500;CORTEN;1000;404,545;422,298;422,298;422,298;422,298
FIJO;2500;CORTEN;1500;483,114;550,414;550,414;550,414;550,414
FIJO;2700;ROBLE;500;386,015;518,201;423,151;423,151;518,201
FIJO;2700;ROBLE;1000;456,719;677,030;518,612;518,612;677,030
FIJO;2700;ROBLE;1500;535,781;866,248;628,621;628,621;866,248
FIJO;2500;ROBLE;500;359,67;470,820;390,350;390,350;470,820
FIJO;2500;ROBLE;1000;422,737;607,987;473,870;473,870;607,987
FIJO;2500;ROBLE;1500;516,517;822,505;602,480;602,480;822,505
FIJO;2700;NOGAL;500;391,129;523,316;428,265;428,265;523,316
FIJO;2700;NOGAL;1000;462,947;683,258;524,840;524,840;683,258
FIJO;2700;NOGAL;1500;542,980;873,447;635,820;635,820;873,447
FIJO;2500;NOGAL;500;364,478;475,628;395,158;395,158;475,628
FIJO;2500;NOGAL;1000;428,650;613,900;479,783;479,783;613,900
FIJO;2500;NOGAL;1500;523,402;829,389;609,364;609,364;829,389
PIVOTANTE;2700;BLANCO MATE;600;533,289;665,475;570,424;570,424;665,475
PIVOTANTE;2700;BLANCO MATE;800;549,327;703,544;592,652;592,652;703,544
PIVOTANTE;2700;BLANCO MATE;700;565,365;741,613;614,879;614,879;741,613
PIVOTANTE;2700;BLANCO MATE;900;581,402;779,682;637,106;637,106;779,682
PIVOTANTE;2700;BLANCO MATE;1000;597,440;817,751;659,333;659,333;817,751
PIVOTANTE;2700;BLANCO MATE;1100;613,478;819,151;681,561;681,561;819,151
PIVOTANTE;2500;BLANCO MATE;600;504,647;615,797;535,327;535,327;615,797
PIVOTANTE;2500;BLANCO MATE;800;518,812;648,487;554,605;554,605;648,487
PIVOTANTE;2500;BLANCO MATE;700;532,977;681,177;573,883;573,883;681,177
PIVOTANTE;2500;BLANCO MATE;900;547,141;713,866;593,161;593,161;713,866
PIVOTANTE;2500;BLANCO MATE;1000;561,306;746,556;612,439;612,439;746,556
PIVOTANTE;2500;BLANCO MATE;1100;595,505;819,895;658,544;658,544;819,895
PIVOTANTE;2700;NEGRO MATE TEXT;600;533,289;665,475;570,424;570,424;665,475
PIVOTANTE;2700;NEGRO MATE TEXT;800;549,327;703,544;592,652;592,652;703,544
PIVOTANTE;2700;NEGRO MATE TEXT;700;565,365;741,613;614,879;614,879;741,613
PIVOTANTE;2700;NEGRO MATE TEXT;900;581,402;779,682;637,106;637,106;779,682
PIVOTANTE;2700;NEGRO MATE TEXT;1000;597,440;817,751;659,333;659,333;817,751
PIVOTANTE;2700;NEGRO MATE TEXT;1100;613,478;819,151;681,561;681,561;819,151
PIVOTANTE;2500;NEGRO MATE TEXT;600;504,647;615,797;535,327;535,327;615,797
PIVOTANTE;2500;NEGRO MATE TEXT;800;518,812;648,487;554,605;554,605;648,487
PIVOTANTE;2500;NEGRO MATE TEXT;700;532,977;681,177;573,883;573,883;681,177
PIVOTANTE;2500;NEGRO MATE TEXT;900;547,141;713,866;593,161;593,161;713,866
PIVOTANTE;2500;NEGRO MATE TEXT;1000;561,306;746,556;612,439;612,439;746,556
PIVOTANTE;2500;NEGRO MATE TEXT;1100;595,505;819,895;658,544;658,544;819,895
PIVOTANTE;2700;CORTEN;600;533,289;665,475;570,424;570,424;665,475
PIVOTANTE;2700;CORTEN;800;549,327;703,544;592,652;592,652;703,544
PIVOTANTE;2700;CORTEN;700;565,365;741,613;614,879;614,879;741,613
PIVOTANTE;2700;CORTEN;900;581,402;779,682;637,106;637,106;779,682
PIVOTANTE;2700;CORTEN;1000;597,440;817,751;659,333;659,333;817,751
PIVOTANTE;2700;CORTEN;1100;613,478;819,151;681,561;681,561;819,151
PIVOTANTE;2500;CORTEN;600;504,647;615,797;535,327;535,327;615,797
PIVOTANTE;2500;CORTEN;800;518,812;648,487;554,605;554,605;648,487
PIVOTANTE;2500;CORTEN;700;532,977;681,177;573,883;573,883;681,177
PIVOTANTE;2500;CORTEN;900;547,141;713,866;593,161;593,161;713,866
PIVOTANTE;2500;CORTEN;1000;561,306;746,556;612,439;612,439;746,556
PIVOTANTE;2500;CORTEN;1100;595,505;819,895;658,544;658,544;819,895
PIVOTANTE;2700;ROBLE;600;631,236;763,423;668,372;668,372;763,423
PIVOTANTE;2700;ROBLE;800;648,478;802,696;691,803;691,803;802,696
PIVOTANTE;2700;ROBLE;700;665,720;841,969;715,234;715,234;841,969
PIVOTANTE;2700;ROBLE;900;682,962;881,242;738,665;738,665;881,242
PIVOTANTE;2700;ROBLE;1000;700,203;920,514;762,096;762,096;920,514
PIVOTANTE;2700;ROBLE;1100;717,445;959,787;785,528;785,528;959,787
PIVOTANTE;2500;ROBLE;600;600,183;711,333;630,863;630,863;711,333
PIVOTANTE;2500;ROBLE;800;615,552;745,227;651,345;651,345;745,227
PIVOTANTE;2500;ROBLE;700;630,920;779,12;671,827;671,827;779,12
PIVOTANTE;2500;ROBLE;900;646,289;813,014;692,309;692,309;813,014
PIVOTANTE;2500;ROBLE;1000;661,657;846,907;712,791;712,791;846,907
PIVOTANTE;2500;ROBLE;1100;697,060;921,451;760,099;760,099;921,451
PIVOTANTE;2700;NOGAL;600;647,670;779,857;684,806;684,806;779,857
PIVOTANTE;2700;NOGAL;800;665,397;819,614;708,722;708,722;819,614
PIVOTANTE;2700;NOGAL;700;683,123;859,372;732,638;732,638;859,372
PIVOTANTE;2700;NOGAL;900;700,850;899,13;756,554;756,554;899,130
PIVOTANTE;2700;NOGAL;1000;718,577;938,888;780,470;780,470;938,888
PIVOTANTE;2700;NOGAL;1100;736,303;978,645;804,385;804,385;978,645
PIVOTANTE;2500;NOGAL;600;615,741;726,891;646,421;646,421;726,891
PIVOTANTE;2500;NOGAL;800;631,594;761,269;667,387;667,387;761,269
PIVOTANTE;2500;NOGAL;700;647,447;795,647;688,354;688,354;795,647
PIVOTANTE;2500;NOGAL;900;663,301;830,026;709,321;709,321;830,026
PIVOTANTE;2500;NOGAL;1000;679,154;864,404;730,287;730,287;864,404
PIVOTANTE;2500;NOGAL;1100;715,041;939,432;778,08;778,08;939,432
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
